Recipe;Blocks;Mobs;Search for mob;Items;Fight;Facts;Externe;Explanations;Total
;;Are Spider Jockeys common?;;What Ore is impossible to break with an Iron Pickaxe?;;What are the best Biomes for Lava Pools?;;;
;;Are Spider Jockeys rare?;;How many Snowballs can be held in a stack?;;Is it possible to turn a Mob upside down?;;;
;;Can you often see a Spider Jockey?;;How many Snowballs are in a stack?;;How to turn an Animal upside down?;;;
;;Do Spider Jockeys spawn often?;;How many Snowballs are stackable?;;How to turn a tamed Mob upside down?;;;
;;Are there many Spider Jockeys?;;How many Snowballs can I stack?;;Can I turn a Mob upside down?;;;
;;Are Spider Jockeys numerous?;;What is the stack number of a Snowball?;;How can I turn a Mob upside down?;;;
;;What is the chance for a Spider Jockey to spawn?;;How many Snowballs can be stacked?;;What name turn a Mob upside down?;;;
;;What is the probability of seeing a Spider Jockey?;;How many Snowballs can I carry?;;How to name a Mob to turn it upside down?;;;
;;How often does a Spider Jockey spawn?;;How many Snowballs can I carry with one stack?;;What names can I give to a Mob to turn it upside down?;;;
;;What chance do you have for a Spider Jockey spawning in your world?;;How many Snowballs can I put in one slot?;;What can you name an Animal to turn it upside down excepted Dinnerbone?;;;
;;How much Exp does the Ender Dragon drop?;;How many Snowballs can I put in one stack?;;What is the effect of naming a Mob Dinnerbone?;;;
;;How much Experience do you earn by defeating the Ender Dragon? ;;;;What are the dimensions of a Nether Portal?;;;
;;How much Xp does the Ender Dragon gives?;;;;How big is a Nether Portal?;;;
;;Do you earn much Exp by defeating the Ender Dragon?;;;;How large should a Nether Portal be?;;;
;;Does the Ender Dragon drop much Xp?;;;;What is the biggest Nether Portal I can do?;;;
;;Do you earn Experience by killing the Ender Dragon?;;;;How big is the largest Nether Portal?;;;
;;Can you progress much if you beat the Ender Dragon?;;;;What are the maximum dimensions of a Nether Portal?;;;
;;How much will I gain Xp if I beat the Ender Dragon?;;;;What are the biggest dimensions of a Nether Portal?;;;
;;Is it interesting to kill the Ender Dragon?;;;;How big is the biggest Nether Portal?;;;
;;What does the Ender Dragon drop?;;;;How large is the largest Nether Portal?;;;
;;Can you dye a Sheep?;;;;What are the largest dimensions of a Nether Portal?;;;
;;Can you change the color of Sheeps?;;;;Can I fish?;;;
;;Can you make a Sheep change color?;;;;Where can I fish?;;;
;;How can I change the color of a Sheep?;;;;Where can't I fish?;;;
;;What should I do to change Sheep's color?;;;;How to fish?;;;
;;How can I dye a Sheep?;;;;How can I fish?;;;
;;What is a way to make Sheep change color?;;;;Is it possible to fish when I am in the Water?;;;
;;Can a Sheep change color?;;;;Can I fish when I am in the Water?;;;
;;What to use for making a Sheep change color?;;;;Is it possible to fish under Water?;;;
;;Can I use a Dye on a Sheep?;;;;Can you fish under Water?;;;
;;Are there several types of Villagers?;;;;How to fish under Water?;;;
;;Are there different kinds of Villagers?;;;;What is Water level?;;;
;;Are there different Villagers?;;;;What are the different levels of Water?;;;
;;Are there many types of Villagers?;;;;Can the Water level change?;;;
;;What kinds of Villagers are there?;;;;How to change Water level?;;;
;;What are the different types of Villagers?;;;;How to make Water level change?;;;
;;How many different types of Villagers are there?;;;;Is it possible to change the level of Water?;;;
;;How many types of Villagers are there?;;;;How can you change the level of Water?;;;
;;Why are there different colored Villagers?;;;;How to control Water level?;;;
;;What does the color of a Villager means?;;;;Can I control the level of Water?;;;
;;Where do you find a Mooshroom?;;;;What is the strategy to make Water level change?;;;
;;Where do I find Mooshrooms?;;;;;;;
;;Where are Mooshrooms located?;;;;;;;
;;Where are Mooshrooms found?;;;;;;;
;;Where can Mooshrooms be found?;;;;;;;
